claim_id	passenger_id	flight_id	flight_number	claim_date	issue_type	bag_description	bag_weight_kg	declared_value_eur	status	resolution_days	compensation_paid_eur	handling_agent
CLM00001	PAX00038709	FL0000120	LH228	2021-10-03	Delayed	Red duffel bag	8.3	1139.51	Denied		0	Lufthansa LEOS
CLM00002	PAX00009412	FL0005836	LH7941	2023-03-06	Lost	Brown leather bag	18.5	1954.3	Resolved	33	0	Swissport
CLM00003	PAX00023184	FL0009823	LH3106	2024-07-28	Delayed	Brown leather bag	19.2	1560.97	In Progress	30	0	Fraport Ground Services
CLM00004	PAX00026279	FL0005311	LH291	2023-05-28	Damaged	Brown leather bag	10.3	1018.26	In Progress		0	Lufthansa LEOS
CLM00005	PAX00031549	FL0004753	LH9796	2023-03-22	Damaged	Blue Samsonite carry-on	14.4	755.51	Resolved	12	149.53	Swissport
CLM00006	PAX00022844	FL0004504	LH9772	2022-11-01	Delayed	Grey Tumi backpack	20.5	660.68	In Progress	2	0	Fraport Ground Services
CLM00007	PAX00038531	FL0007228	LH4784	2023-09-10	Delayed	Grey Tumi backpack	17.0	430.13	In Progress	39	0	Lufthansa LEOS
CLM00008	PAX00028526	FL0006530	LH6584	2023-08-16	Delayed	Brown leather bag	30.3	564.89	Pending	9	0	Fraport Ground Services
CLM00009	PAX00033347	FL0010238	LH2477	2024-04-24	Delayed	Green hardcase	18.3	652.63	In Progress	6	0	Lufthansa LEOS
CLM00010	PAX00014813	FL0000508	LH5121	2022-03-09	Lost	Grey Tumi backpack	31.8	932.14	In Progress	23	264.98	Swissport
CLM00011	PAX00007618	FL0006717	LH4069	2023-06-13	Delayed	Brown leather bag	10.6	2007.73	Denied		0	Lufthansa LEOS
CLM00012	PAX00009911	FL0000004	LH8506	2021-11-25	Delayed	Grey Tumi backpack	18.1	1680.2	Resolved	5	0	Fraport Ground Services
CLM00013	PAX00037497	FL0001579	LH5188	2022-05-29	Delayed	Blue Samsonite carry-on	12.5	1741.04	In Progress	26	0	Fraport Ground Services
CLM00014	PAX00031306	FL0012108	LH2372	2024-12-31	Delayed	Black Rimowa suitcase	17.1	EUR 1832.84	Pending	7	0	Lufthansa LEOS
CLM00015	PAX00022058	FL0005402	LH2113	2023-03-03	Pilfered	Blue Samsonite carry-on	17.0	459.91	In Progress	38	$637.52	Swissport
CLM00016	PAX00036254	FL0000512	LH2420	2022-03-13	Damaged	Red duffel bag	16.6	1417.94	Resolved	26	0	Swissport
CLM00017	PAX00035412	FL0006549	LH4486	2023-07-13	Delayed	Grey Tumi backpack	9.5	634.25	Resolved		0	Fraport Ground Services
CLM00018	PAX00020529	FL0005393	LH5227	2023-03-08	Damaged	Red duffel bag	10.9	602.14	In Progress		0	Swissport
CLM00019	PAX00023787	FL0000842	LH7084	2022-04-29	Delayed	Black Rimowa suitcase	10.6	1104.9	In Progress		0	Swissport
CLM00020	PAX00003349	FL0006067	LH6082	2023-07-26	Delayed	Grey Tumi backpack	14.2	1748.89	Resolved	42	0	Lufthansa LEOS
CLM00021	PAX00016322	FL0007643	LH4489	2023-12-08	Damaged	Brown leather bag	22.5	2218.73	Pending	24	1016.43	Fraport Ground Services
CLM00022	PAX00000704	FL0008568	LH6852	2023-12-02	Delayed	Black Rimowa suitcase	31.5	2030.33	In Progress	8		Fraport Ground Services
CLM00023	PAX00008679	FL0005421	LH4520	2023-02-12	Delayed	Grey Tumi backpack	8.7	1829.71	Denied	25	0	Lufthansa LEOS
CLM00024	PAX00036725	FL0006020	LH1272	2023-03-27	Damaged	Red duffel bag	10.4	2395.58	Resolved	12	709.89	Fraport Ground Services
CLM00025	PAX00041600	FL0001988	LH5467	2022-06-18	Delayed	Red duffel bag	21.2	2408.75	Resolved	6	0	Lufthansa LEOS
CLM00026	PAX00002103	FL0004249	LH5741	2023-01-15	Delayed	Black Rimowa suitcase	25.0	1525.75	In Progress	35	0	Lufthansa LEOS
CLM00027	PAX00012104	FL0005123	LH9777	2023-05-12	Lost	Grey Tumi backpack	11.2	396.48	Resolved	17	113.93	Fraport Ground Services
CLM00028	PAX00029008	FL0003846	LH6461	2023-01-03	Delayed	Black Rimowa suitcase	30.0	338.72	Resolved	30	0	Fraport Ground Services
CLM00029	PAX00004548	FL0002173	LH2497	2022-04-06	Delayed	Grey Tumi backpack	10.0	2146.27	Resolved	32	0	Lufthansa LEOS
CLM00030	PAX00002301	FL0004360	LH9527	2022-10-30	Delayed	Blue Samsonite carry-on	28.6	498.58	Resolved	17	0	Swissport
CLM00031	PAX00013703	FL0003752	LH7571	2023-01-21	Delayed	Black Rimowa suitcase	16.2	1525.91	Denied		0	Fraport Ground Services
CLM00032	PAX00039520	FL0007042	LH2272	2023-07-24	Delayed	Black Rimowa suitcase	9.4	1311.95	Resolved	16	0	Lufthansa LEOS
CLM00033	PAX00017339	FL0005026	LH4488	2023-05-29	Lost	Grey Tumi backpack	20.9	1216.35	Pending	27	534.48	Swissport
CLM00034	PAX00020160	FL0006985	LH1021	2023-06-20	Delayed	Grey Tumi backpack	22.4	428.98	Pending		0	Lufthansa LEOS
CLM00035	PAX00012192	FL0010480	LH7859	2024-07-23	Lost	Black Rimowa suitcase	24.1	1113.81	Resolved	19	0	Fraport Ground Services
CLM00036	PAX00002662	FL0002730	LH1196	2022-08-31	Delayed	Green hardcase	14.5	1765.16	Resolved		0	Fraport Ground Services
CLM00037	PAX00002672	FL0011588	LH6043	2024-08-12	Delayed	Blue Samsonite carry-on	8.6	579.21	Resolved	24	0	Fraport Ground Services
CLM00038	PAX00022582	FL0010782	LH2950	2024-06-30	Damaged	Black Rimowa suitcase	29.5	339.27	Denied	16	0	Swissport
CLM00039	PAX00039902	FL0003700	LH9796	2022-10-01	Delayed	Grey Tumi backpack	8.7	567.05	Pending		0	Lufthansa LEOS
CLM00040	PAX00016704	FL0002046	LH2463	2022-02-11	Delayed	Blue Samsonite carry-on	17.2	733.53	In Progress	42	0	Lufthansa LEOS
CLM00041	PAX00030740	FL0005170	LH3273	2023-02-15	Damaged	Blue Samsonite carry-on	9.0	2086.7	In Progress	18	1114.81	Swissport
CLM00042	PAX00020486	FL0010018	LH1481	2024-04-11	Delayed	Blue Samsonite carry-on	29.6	1788.33	In Progress	43	0	Fraport Ground Services
CLM00043	PAX00020116	FL0006831	LH2089	2023-06-12	Delayed	Green hardcase	28.2	2197.57	Resolved		0	Fraport Ground Services
CLM00044	PAX00011255	FL0011348	LH3435	2024-05-13	Delayed	Blue Samsonite carry-on	15.3	493.22	Resolved	13	0	Fraport Ground Services
CLM00045	PAX00037877	FL0002371	LH4956	2022-09-12	Lost	Black Rimowa suitcase	28.0	333.81	Resolved		0	Fraport Ground Services
CLM00046	PAX00031597	FL0003729	LH1732	2023-01-10	Delayed	Brown leather bag	22.0	255.4	Resolved	38	0	Fraport Ground Services
CLM00047	PAX00028989	FL0005046	LH3892	2023-04-22	Pilfered	Red duffel bag	16.8	2277.16	Resolved		284.06	Fraport Ground Services
CLM00048	PAX00024598	FL0000170	LH7206	16-02-2022	Delayed	Red duffel bag	27.2	894.15	In Progress	26	0	Lufthansa LEOS
CLM00049	PAX00010930	FL0008949	LH2242	2024-03-14	Lost	Brown leather bag	28.4	1078.0	Resolved	34	0	Fraport Ground Services
CLM00050	PAX00003739	FL0009035	LH7435	2024-01-11	Lost	Grey Tumi backpack	22.3	1612.72	Resolved	1	88.61	Swissport
CLM00051	PAX00007416	FL0011429	LH4814	2024-10-01	Lost	Black Rimowa suitcase	19.2	2164.45	In Progress		0	Swissport
CLM00052	PAX00010607	FL0004854	LH1948	2023-04-28	Delayed	Brown leather bag	17.7	475.52	Resolved	20	0	Lufthansa LEOS
CLM00053	PAX00000627	FL0003061	LH4476	2022-09-02	Lost	Red duffel bag	31.3	2138.36	Resolved	15	0	Lufthansa LEOS
CLM00054	PAX00040635	FL0004133	LH9123	2023-01-23	Delayed	Grey Tumi backpack	11.0	320.14	Pending		0	Lufthansa LEOS
CLM00055	PAX00018605	FL0001068	LH5220	2022-01-23	Damaged	Black Rimowa suitcase	18.5	1261.36	In Progress	41	1236.39	Fraport Ground Services
CLM00056	PAX00024482	FL0000343	LH9759	12-12-2021	Delayed	Red duffel bag	15.0	1473.39	Pending	11	0	Swissport
CLM00057	PAX00038748	FL0005768	LH509	2023-04-26	Delayed	Black Rimowa suitcase	18.5	1352.43	Pending	33		Lufthansa LEOS
CLM00058	PAX00000152	FL0001893	LH9791	2022-05-18	Delayed	Grey Tumi backpack	15.5	1864.01	Pending	11	0	Swissport
CLM00059	PAX00015545	FL0007857	LH9736	2024-01-29	Delayed	Blue Samsonite carry-on	24.0	492.22	Resolved	32	0	Lufthansa LEOS
CLM00060	PAX00036302	FL0009518	LH7949	2024-02-10	Lost	Black Rimowa suitcase	15.4	1613.01	In Progress	26	758.22	Lufthansa LEOS
CLM00061	PAX00041808	FL0007974	LH1130	2023-10-21	Lost	Blue Samsonite carry-on	29.5	1814.5	Resolved	42	0	Swissport
CLM00062	PAX00028371	FL0008899	LH2825	2023-11-19	Delayed	Grey Tumi backpack	27.7	2084.75	In Progress	18	0	Lufthansa LEOS
CLM00063	PAX00003466	FL0005739	LH4244	2023-04-24	Delayed	Blue Samsonite carry-on	31.2	673.15	In Progress		0	Lufthansa LEOS
CLM00064	PAX00026876	FL0007328	LH8974	2023-10-22	Lost	Brown leather bag	21.7	573.37	Denied	34	543.93	Swissport
CLM00065	PAX00018835	FL0011918	LH6977	2024-06-29	Delayed	Red duffel bag	11.1	EUR 1351.52	Denied	36	0	Swissport
CLM00066	PAX00015788	FL0001603	LH382	2022-02-24	Lost	Green hardcase	10.4	822.13	Pending	8	0	Fraport Ground Services
CLM00067	PAX00019313	FL0007107	LH1134	2023-08-09	Pilfered	Blue Samsonite carry-on	28.1	1844.12	Resolved		0	Fraport Ground Services
CLM00068	PAX00005840	FL0004304	LH2563	2023-01-13	Delayed	Brown leather bag	9.9	1383.96	Pending		0	Swissport
CLM00069	PAX00023356	FL0001982	LH4041	2022-03-18	Delayed	Green hardcase	31.8	847.29	In Progress	22	0	Lufthansa LEOS
CLM00070	PAX00034356	FL0000638	LH6393	2021-10-30	Delayed	Red duffel bag	8.0	284.95	Resolved	4	0	Fraport Ground Services
CLM00071	PAX00014909	FL0005039	LH5178	2023-03-01	Lost	Brown leather bag	20.9	538.63	Resolved	2	0	Lufthansa LEOS
CLM00072	PAX00012128	FL0007206	LH6367	2023-08-21	Lost	Blue Samsonite carry-on	19.0	1611.02	Pending	9	200.08	Swissport
CLM00073	PAX00025492	FL0002618	LH3441	2022-08-01	Lost	Brown leather bag	29.4	1208.12	Pending	7	0	Swissport
CLM00074	PAX00003510	FL0000424	LH6566	2021-10-20	Damaged	Blue Samsonite carry-on	9.7	1757.7	In Progress	18	0	Fraport Ground Services
CLM00075	PAX00011370	FL0006898	LH8537	2023-05-13	Damaged	Green hardcase	8.8	1889.82	Resolved	11	0	Fraport Ground Services
CLM00076	PAX00022446	FL0011830	LH4927	2024-07-02	Damaged	Grey Tumi backpack	17.8	2293.07	In Progress	21	353.69	Lufthansa LEOS
CLM00077	PAX00039344	FL0010785	LH7074	2024-07-13	Delayed	Green hardcase	16.1	1957.9	Resolved	8	0	Fraport Ground Services
CLM00078	PAX00004401	FL0000426	LH4014	2022-02-15	Delayed	Grey Tumi backpack	11.0	125.06	Resolved		0	Lufthansa LEOS
