incident_id,flight_id,flight_number,aircraft_registration,date,route,route_category,delay_minutes,delay_reason,severity,compensation_eligible,passengers_affected,rebooking_required,hotel_provided,meal_voucher_provided,estimated_cost_eur,reported_by,resolution_time_min
INC000001,FL0000003,LH2616,D-AIDA,2022-01-01,BCN-FRA,Medium-haul,10,Crew availability,Minor,No,165,No,No,No,1881.17,Ground Handling,20
INC000002,FL0000006,LH6575,D-AIDB,2022-01-01,FRA-ATH,Medium-haul,20,Bird strike,Minor,No,161,No,No,No,3334.34,Flight Crew,64
INC000003,FL0000013,LH6399,D-AINB,2022-01-02,MUC-FRA,Short-haul,30,Late incoming aircraft,Moderate,No,131,No,No,No,4097.42,Operations Center,84
INC000004,FL0000014,LH2817,D-AIXD,2022-01-02,SIN-FRA,Long-haul,20,Crew availability,Minor,No,232,No,No,No,2517.91,Flight Crew,32
INC000005,FL0000015,LH9876,D-AIXB,2022-01-02,DXB-FRA,Long-haul,10,Crew availability,Minor,No,229,No,No,No,1620.21,Operations Center,52
INC000006,FL0000019,LH2390,D-AICB,2022-01-03,VIE-FRA,Short-haul,20,Medical emergency,Minor,No,143,No,No,No,1122.8,Passenger Services,74
INC000007,FL0000022,LH6009,D-AIXA,2022-01-03,DXB-FRA,Long-haul,15,Bird strike,Minor,No,252,No,No,No,952.78,Operations Center,41
INC000008,FL0000023,LH5898,D-AICA,2022-01-04,FRA-BCN,Medium-haul,10,Medical emergency,Minor,No,150,No,No,No,1116.74,ATC,30
INC000009,FL0000028,LH5112,D-ABYD,2022-01-04,DXB-FRA,Long-haul,10,Medical emergency,Minor,No,334,No,No,No,652.92,ATC,44
INC000010,FL0000036,LH1177,D-AIKA,2022-01-05,JNB-FRA,Long-haul,5,De-icing,Minor,No,174,No,No,No,655.79,Passenger Services,45
INC000011,FL0000037,LH2754,D-AIBA,2022-01-06,LHR-FRA,Short-haul,15,Fuel issue,Minor,No,94,No,No,No,2517.53,Flight Crew,37
INC000012,FL0000041,LH7642,D-AICA,2022-01-06,FRA-BRU,Short-haul,10,Runway maintenance,Minor,No,144,No,No,No,1069.75,Passenger Services,24
INC000013,FL0000045,LH9531,D-AIDA,2022-01-07,FRA-CDG,Short-haul,10,Late incoming aircraft,Minor,No,176,No,No,No,788.4,Flight Crew,51
INC000014,FL0000052,LH8746,D-AINB,2022-01-07,ARN-FRA,Medium-haul,20,Medical emergency,Minor,No,127,No,No,No,3480.59,Passenger Services,37
INC000015,FL0000053,LH5952,D-AIDA,2022-01-07,FRA-MUC,Short-haul,20,Runway maintenance,Minor,No,175,No,No,No,3533.08,Passenger Services,64
INC000016,FL0000055,LH7478,D-AINA,2022-01-08,MAD-FRA,Medium-haul,60,Crew availability,Major,No,140,No,No,No,10805.97,Operations Center,92
INC000017,FL0000057,LH4708,D-AIBA,2022-01-08,FRA-LIS,Medium-haul,60,Fuel issue,Major,No,120,No,No,No,9704.33,Flight Crew,94
INC000018,FL0000058,LH9439,D-AIBA,2022-01-08,FRA-MUC,Short-haul,5,Weather conditions,Minor,No,101,No,No,No,467.16,Operations Center,15
INC000019,FL0000060,LH2552,D-AIKB,2022-01-08,FRA-PVG,Long-haul,30,Connecting passengers,Moderate,No,221,No,No,No,3482.1,Flight Crew,77
INC000020,FL0000064,LH5062,D-AIHA,2022-01-09,BKK-FRA,Long-haul,10,Weather conditions,Minor,No,219,No,No,No,1501.68,Ground Handling,36
INC000021,FL0000066,LH7149,D-AINA,2022-01-10,FRA-LHR,Short-haul,20,Security check,Minor,No,168,No,No,No,2362.93,Operations Center,37
INC000022,FL0000067,LH4338,D-AICB,2022-01-10,FRA-AMS,Short-haul,30,Technical issue,Moderate,No,131,No,No,No,1876.86,Operations Center,77
INC000023,FL0000074,LH623,D-AIDA,2022-01-11,FRA-BCN,Medium-haul,20,De-icing,Minor,No,144,No,No,No,3271.0,Ground Handling,46
INC000024,FL0000079,LH146,D-AIDA,2022-01-12,ATH-FRA,Medium-haul,15,Security check,Minor,No,133 passengers,No,No,No,1091.69,ATC,63
INC000025,FL0000086,LH2722,D-ABYD,2022-01-13,FRA-JFK,Long-haul,10,Baggage loading,Minor,No,346,No,No,No,1345.63,Operations Center,45
INC000026,FL0000088,LH1153,D-AICC,2022-01-14,FRA-CDG,Short-haul,5,Security check,Minor,No,151,No,No,No,621.82,Operations Center,17
INC000027,FL0000095,LH8953,D-AIXA,2022-01-14,FRA-PVG,Long-haul,10,Connecting passengers,Minor,No,212,No,No,No,1712.6,ATC,51
INC000028,FL0000096,LH7402,D-AIDA,2022-01-15,CDG-FRA,Short-haul,15,Bird strike,Minor,No,149,No,No,No,1733.53 EUR,Flight Crew,68
INC000029,FL0000098,LH7264,D-AIBA,2022-01-15,FCO-FRA,Short-haul,10,Strike action,Minor,No,99,No,No,No,629.52,Operations Center,67
INC000030,FL0000106,LH276,D-AIDB,2022-01-16,LHR-FRA,Short-haul,15,Medical emergency,Minor,No,134,No,No,No,1780.94 EUR,ATC,72
INC000031,FL0000116,LH6156,D-AIBA,2022-01-17,ZRH-FRA,Short-haul,5,Connecting passengers,Minor,No,124,No,No,No,866.3,Ground Handling,24
INC000032,FL0000117,LH6973,D-AIDB,2022-01-17,ATH-FRA,Medium-haul,30,Bird strike,Moderate,No,139,No,No,No,2935.76,Ground Handling,68
