flight_id,flight_number,aircraft_registration,aircraft_type,flight_type,origin,destination,destination_city,destination_country,region,route_category,date,scheduled_time,actual_time,delay_minutes,delay_reason,status,terminal,gate,passengers,load_factor_pct,cargo_kg,distance_km,flight_duration_min,fuel_consumption_kg,flight_revenue_eur
FL0000001,LH1811,D-AIEA,Airbus A321neo,Arrival,CDG,FRA,Paris,France,Europe,Short-haul,2022-01-01,13:20,13:20,0,,On Time,Terminal 1A,A13,133,68.3,4643.0,450,28,1315,30088.88
FL0000002,LH1668,D-AIDA,Airbus A321-200,Departure,FRA,LHR,London,United Kingdom,Europe,Short-haul,01/01/2022,08:50,08:50,,,Early,Terminal 1C,A25,170,89.6,1287.0,650,39,1686,20210.91
FL0000003,LH2616,D-AIDA,Airbus A321-200,Arrival,BCN,FRA,Barcelona,Spain,Europe,Medium-haul,2022-01-01,10:25,10:35,10,Crew availability,Delayed,Terminal 1C,C2,165,87.1,1192.0,1090,83,3092,
FL0000004,LH8506,D-AIEB,Airbus A321neo,Arrival,CPH,FRA,Copenhagen,Denmark,Europe,Short-haul,2022-01-01,18:55,18:55,0,,On Time,Terminal 1C,C12,169,87.2,,680,62,1907,29390.36
FL0000005,LH475,D-AIBA,Airbus A319-100,Arrival,IST,FRA,Istanbul,Turkey,Europe,Medium-haul,2022-01-01,17:20,17:20,0,,On Time,Terminal 1B,A8,117,85.1,3715.0,1860,132,5419,37666.88
FL0000006,LH6575,D-AIDB,Airbus A321-200,Departure,FRA,ATH,Athens,Greece,Europe,Medium-haul,2022-01-01,12:55,12:15,20,Bird strike,Delayed,Terminal 1B,C27,161,84.9,2721.0,1810,122,3631,54668.29
FL0000007,LH9456,D-ABYB,Boeing 747-8,Arrival,ORD,FRA,Chicago,United States,North America,Long-haul,2022-01-01,10:15,10:15,0,,On Time,Terminal 1A,B20,320,87.9,16444.0,6970,507,23009,382996.6
FL0000008,LH6936,D-AICC,Airbus A320-200,Departure,FRA,CDG,Paris,France,Europe,Short-haul,2022-01-02,15:20,15:20,0,,On Time,Terminal 1C,B17,132,78.7,1104.0,450,29,1365,15918.3
FL0000009,LH5435,D-AIDA,Airbus A321-200,Departure,FRA,LHR,London,United Kingdom,Europe,Short-haul,2022-01-02,22:30,22:30,,,Early,Terminal 1A,B7,173,91.3,4715.0,650,48,1374,19611.35
FL0000010,LH6023,D-AICA,Airbus A320-200,Arrival,BRU,FRA,Brussels,Belgium,Europe,Short-haul,2022-01-02,14:00,14:00,0,,Early,Terminal 1C,C8,158,94.6,1519.0,320,43,875,22845.35
FL0000011,LH3744,D-AICB,Airbus A320-200,Arrival,WAW,FRA,Warsaw,Poland,Europe,Short-haul,2022-01-02,09:15,09:15,0,,Early,Terminal 1A,A5,152,90.8,1243.0,890,58,2410,15406.68
FL0000012,LH9324,D-AICA,Airbus A320-200,Departure,FRA,LIS,Lisbon,Portugal,Europe,Medium-haul,2022-01-02,10:40,10:40,0,,On Time,Terminal 1B,B28,160,95.4,2064.0,1880,126,5169,47982.17
FL0000013,LH6399,D-AINB,Airbus A320neo,Arrival,MUC,FRA,Munich,Germany,Europe,Short-haul,2022-01-02,06:40,06:10,30,Late incoming aircraft,Delayed,Terminal 1C,A13,131,72.8,2749.0,300,19,744,29578.6
FL0000014,LH2817,D-AIXD,Airbus A350-900,Arrival,SIN,FRA,Singapore,Singapore,Asia,Long-haul,2022-01-02,14:10,14:30,20,Crew availability,Delayed,Terminal 1C,B22,232,85.5,3232.0,10300,747,42548,106046.43
FL0000015,LH9876,D-AIXB,Airbus A350-900,Arrival,DXB,FRA,Dubai,UAE,Middle East,Long-haul,2022-01-02,22:55,22:05,10,Crew availability,Delayed,Terminal 1B,C3,229,84.2,16766.0,4830,361,19647,243742.66
FL0000016,LH3495,D-AICC,Airbus A320-200,Departure,FRA,CDG,Paris,France,Europe,Short-haul,2022-01-03,21:10,21:10,0,,Early,Terminal 1A,B4,153,91.6,1759.0,450,51,1053,20306.43
FL0000017,LH2536,D-AIBA,Airbus A319-100,Departure,FRA,AMS,Amsterdam,Netherlands,Europe,Short-haul,2022-01-03,06:20,06:20,0,,On Time,Terminal 1B,B13,127,92.7,860.0,365,16,790,13470.7
FL0000018,LH6740,D-AICB,Airbus A320-200,Arrival,FCO,FRA,Rome,Italy,Europe,Short-haul,03/01/2022,16:50,16:50,0,,Early,Terminal 1A,B23,139,82.9,842.0,960,84,2447,19802.88
FL0000019,LH2390,D-AICB,Airbus A320-200,Arrival,VIE,FRA,Vienna,Austria,Europe,Short-haul,2022-01-03,12:50,12:10,20,Medical emergency,Delayed,Terminal 1C,A4,143,85.6,1389.0,600,60,1248 kg,25134.8
FL0000020,LH5366,D-AINA,Airbus A320neo,Departure,FRA,BRU,Brussels,Belgium,Europe,Short-haul,2022-01-03,17:15,17:15,0,,Early,Terminal 1B,C27,158,88.2,558.0,320,28,888,15845.9
FL0000021,LH9737,D-AIEB,Airbus A321neo,Departure,FRA,LIS,Lisbon,Portugal,Europe,Medium-haul,2022-01-03,08:20,08:20,0,,On Time,Terminal 1C,A29,185,94.9,2633.0,1880,134,4566,46829.7
FL0000022,LH6009,D-AIXA,Airbus A350-900,Arrival,DXB,FRA,Dubai,UAE,Middle East,Long-haul,2022-01-03,08:00,08:15,15,Bird strike,Delayed,Terminal 1B,C4,252,92.8,6157.0,4830,363,12563,232880.29
FL0000023,LH5898,D-AICA,Airbus A320-200,Departure,FRA,BCN,Barcelona,Spain,Europe,Medium-haul,2022-01-04,11:45,11:55,10,Medical emergency,Delayed,Terminal 1B,C5,150,89.5,4006.0,1090,78,2750,26028.46
FL0000024,LH6479,D-AINA,Airbus A320neo,Departure,FRA,MUC,Munich,Germany,Europe,Short-haul,2022-01-04,15:20,15:20,0,,On Time,Terminal 1B,C1,142,79.1,3894.0,300,40,901,28360.54
FL0000025,LH7600,D-AIDB,Airbus A321-200,Arrival,DUS,FRA,Dusseldorf,Germany,Europe,Short-haul,2022-01-04,10:00,10:00,0,,Early,Terminal 1C,A12,167,88.1,3012.0,225,15,707,31851.87
FL0000026,LH6830,D-AIHC,Airbus A340-600,Arrival,NRT,FRA,Tokyo,Japan,Asia,Long-haul,2022-01-04,10:15,10:15,0,,On Time,Terminal 1B,C1,267,89.9,21143.0,9350,685,32071,120679.28
FL0000027,LH3317,D-AIXA,Airbus A350-900,Arrival,SIN,FRA,Singapore,Singapore,Asia,Long-haul,2022-01-04,22:35,22:35,0,,On Time,Terminal 1A,C26,230,84.6,12118.0,10300,757,29947,209482.03
FL0000028,LH5112,D-ABYD,Boeing 747-8,Arrival,DXB,FRA,Dubai,UAE,Middle East,Long-haul,2022-01-04,09:40,09:50,10,Medical emergency,Delayed,Terminal 1A,B7,334,91.9,17585.0,4830,365,18617,210869.17
FL0000029,LH8694,D-AICC,Airbus A320-200,Departure,FRA,FCO,Rome,Italy,Europe,Short-haul,2022-01-05,19:05,19:05,0,,On Time,Terminal 1B,B29,151,90.3,,960,89,2867,26848.65
FL0000030,LH1563,D-AIDB,Airbus A321-200,Departure,FRA,MXP,Milan,Italy,Europe,Short-haul,05/01/2022,07:50,07:50,0,,On Time,Terminal 1A,A13,150,79.3,3576.0,515,44,1612,16486.37
FL0000031,LH5715,D-AIDB,Airbus A321-200,Arrival,MAD,FRA,Madrid,Spain,Europe,Medium-haul,2022-01-05,10:35,10:35,0,,On Time,Terminal 1C,A23,152 pax,80.5,1838.0,1450,115,4576,43387.3
FL0000032,LH2583,D-AIBA,Airbus A319-100,Arrival,BCN,FRA,Barcelona,Spain,Europe,Medium-haul,2022-01-05,19:30,19:30,0,,On Time,Terminal 1C,C18,93,68.1,2178.0,1090,94,2642,17939.79
FL0000033,LH9617,D-AICB,Airbus A320-200,Arrival,VIE,FRA,Vienna,Austria,Europe,Short-haul,2022-01-05,09:05,09:05,0,,On Time,Terminal 1A,A8,142,85.0,2393.0,600,43,1267 kg,17694.75
FL0000034,LH4122,D-AICC,Airbus A320-200,Departure,FRA,BRU,Brussels,Belgium,Europe,Short-haul,2022-01-05,12:05,12:05,0,,On Time,Terminal 1B,B24,141,84.2,1774.0,320,35,804,31567.53
FL0000035,LH9522,D-AIBB,Airbus A319-100,Arrival,DUS,FRA,Dusseldorf,Germany,Europe,Short-haul,2022-01-05,09:30,09:30,0,,On Time,Terminal 1A,A22,114,82.7,4418.0,225,31,594,16575.74
FL0000036,LH1177,D-AIKA,Airbus A330-300,Arrival,JNB,FRA,Johannesburg,South Africa,Africa,Long-haul,2022-01-05,08:05,08:10,5,De-icing,Delayed,Terminal 1B,B2,174,74.4,724.0,8650,643,37491,119984.81
FL0000037,LH2754,D-AIBA,Airbus A319-100,Arrival,LHR,FRA,London,United Kingdom,Europe,Short-haul,2022-01-06,14:10,14:25,15,Fuel issue,Delayed,Terminal 1B,C19,94,68.8,4840.0,650,50,1616,9439.02
FL0000038,LH5262,D-AINB,Airbus A320neo,Departure,FRA,AMS,Amsterdam,Netherlands,Europe,Short-haul,2022-01-06,06:05,06:05,0,,Early,Terminal 1A,C24,157 pax,87.5,3127.0,365,31,994,21659.13
FL0000039,LH3934,D-AICC,Airbus A320-200,Arrival,MAD,FRA,Madrid,Spain,Europe,Medium-haul,2022-01-06,09:25,09:25,0,,On Time,Terminal 1B,B6,150,89.4,3236.0,1450,124,3349,32855.03
FL0000040,LH424,D-AINB,Airbus A320neo,Departure,FRA,VIE,Vienna,Austria,Europe,Short-haul,2022-01-06,07:25,07:25,0,,On Time,Terminal 1C,C12,123 pax,68.7,3358.0,600,49,1328,27413.31
FL0000041,LH7642,D-AICA,Airbus A320-200,Departure,FRA,BRU,Brussels,Belgium,Europe,Short-haul,2022-01-06,07:40,07:50,10,Runway maintenance,Delayed,Terminal 1B,B1,144,85.7,3175.0,320,21,730,31920.17
FL0000042,LH9566,D-AIBA,Airbus A319-100,Arrival,CPH,FRA,Copenhagen,Denmark,Europe,Short-haul,2022-01-06,10:50,10:50,0,,Early,Terminal 1B,B27,123,89.3,,680,42,1800,13578.18
FL0000043,LH394,D-AIEB,Airbus A321neo,Departure,FRA,WAW,Warsaw,Poland,Europe,Short-haul,2022-01-06,08:25,08:25,0,,On Time,Terminal 1B,C25,179,92.1,2934.0,890,67,2316,17239.36
FL0000044,LH4258,D-AICC,Airbus A320-200,Arrival,MUC,FRA,Munich,Germany,Europe,Short-haul,2022-01-06,07:30,07:30,0,,On Time,Terminal 1C,B27,133,79.2,4681.0,300,13,605,16736.75
FL0000045,LH9531,D-AIDA,Airbus A321-200,Departure,FRA,CDG,Paris,France,Europe,Short-haul,2022-01-07,11:55,11:05,10 min,Late incoming aircraft,Delayed,Terminal 1A,C30,176,92.9,1009.0,450,44,1227,33556.38
FL0000046,LH5887,D-AIEB,Airbus A321neo,Departure,FRA,LHR,London,United Kingdom,Europe,Short-haul,2022-01-07,08:00,08:00,0,,On Time,Terminal 1C,C25,150,77.1,2002.0,650,42,1471,26997.17
FL0000047,LH742,D-AINB,Airbus A320neo,Arrival,AMS,FRA,Amsterdam,Netherlands,Europe,Short-haul,07/01/2022,22:40,22:40,0,,On Time,Terminal 1B,B15,155,86.3,2220.0,365,40,1010,33945.07
FL0000048,LH1228,D-AINA,Airbus A320neo,Arrival,MXP,FRA,Milan,Italy,Europe,Short-haul,2022-01-07,14:55,14:55,0,,On Time,Terminal 1C,B28,150,83.6,2578.0,515,47,1439,34119.15
FL0000049,LH7916,D-AIEA,Airbus A321neo,Arrival,MAD,FRA,Madrid,Spain,Europe,Medium-haul,2022-01-07,18:20,18:20,0,,On Time,Terminal 1A,A5,147,75.7,1781.0,1450,121,3854,20093.19
FL0000050,LH6025,D-AINA,Airbus A320neo,Departure,FRA,ZRH,Zurich,Switzerland,Europe,Short-haul,2022-01-07,21:50,21:50,0,,On Time,Terminal 1C,B11,149,83.3,1174.0,305,19,730,36394.91
FL0000051,LH5553,D-AIDB,Airbus A321-200,Arrival,LIS,FRA,Lisbon,Portugal,Europe,Medium-haul,2022-01-07,13:10,13:10,0,,Early,Terminal 1C,C3,157,82.7,711.0,1880,149,5269,22151.39
FL0000052,LH8746,D-AINB,Airbus A320neo,Arrival,ARN,FRA,Stockholm,Sweden,Europe,Medium-haul,2022-01-07,14:15,14:35,20,Medical emergency,Delayed,Terminal 1A,A14,127,71.1,4345.0,1240,107,2735,22778.94
FL0000053,LH5952,D-AIDA,Airbus A321-200,Departure,FRA,MUC,Munich,Germany,Europe,Short-haul,2022-01-07,15:45,15:05,20,Runway maintenance,Delayed,Terminal 1C,C18,175,92.4,2911.0,300,20,922,25201.21
FL0000054,LH4210,D-AINA,Airbus A320neo,Arrival,CDG,FRA,Paris,France,Europe,Short-haul,2022-01-08,15:50,15:50,,,Early,Terminal 1C,A2,138,77.1,207.0,450,35,1064,16074.36
FL0000055,LH7478,D-AINA,Airbus A320neo,Arrival,MAD,FRA,Madrid,Spain,Europe,Medium-haul,2022-01-08,09:20,10:20,60,Crew availability,Delayed,Terminal 1B,B6,140,77.9,1807.0,1450,107,2994,25314.6
FL0000056,LH4674,D-AICB,Airbus A320-200,Departure,FRA,BRU,Brussels,Belgium,Europe,Short-haul,2022-01-08,13:20,13:20,0,,On Time,Terminal 1A,A24,138,82.4,4402.0,320,16,867,31871.47
FL0000057,LH4708,D-AIBA,Airbus A319-100,Departure,FRA,LIS,Lisbon,Portugal,Europe,Medium-haul,2022-01-08,14:35,15:35,60,Fuel issue,Delayed,Terminal 1A,A23,120,87.1,3571.0,1880,128,4652,16197.49
