survey_id,passenger_id,flight_id,survey_date,travel_class,nationality,frequent_flyer_status,trip_purpose,overall_satisfaction,check_in_rating,security_rating,lounge_rating,boarding_rating,seat_comfort_rating,cabin_crew_rating,food_rating,entertainment_rating,wifi_rating,would_recommend,nps_score,comments
SUR000001,PAX00001998,FL0002365,2022-07-02,Economy,Italy,Frequent Traveller,Leisure,8,6,6,,10,6,10,7,5,3,Yes,2.0,
SUR000002,PAX00039982,FL0004242,2022-12-01,Economy,China,HON Circle,Other,6,7,4,,7,4,7,6,6,3,Maybe,3.0,Business class seat was outstanding
SUR000003,PAX00014168,FL0000563,2022-01-02,Business,Switzerland,None,Business,9,8,7,4.0,9,9,9,5,9,4,Yes,3.0,Business class seat was outstanding
SUR000004,PAX00033403,FL0000719,2021-11-13,Business,United Kingdom,None,Leisure,9,7,8,10.0,10,8,9,2,6,1,Yes,10.0,Business class seat was outstanding
SUR000005,PAX00030591,FL0010102,2024-06-11,Economy,Netherlands,Senator,Leisure,1,3,3,,3,2,2,5,2,1,No,7.0,
SUR000006,PAX00039330,FL0001798,2022-02-08,Economy,United States,None,Other,5,6,6,,5,5,4,8,6,10,Maybe,,
SUR000007,PAX00007573,FL0005487,2023-02-01,Premium Economy,Italy,Frequent Traveller,Business,6,4,8,,4,6,4,4,3,8,Maybe,9.0,Baggage took too long at arrival
SUR000008,PAX00008303,FL0007640,2023-11-12,Premium Economy,UAE,Senator,Other,3,2,3,,3,4,4,8,5,2,No,3.0,Clean and comfortable cabin
SUR000009,PAX00023676,FL0009251,2024-01-20,Economy,Poland,Senator,Business,4,5,3,,5,2,2,6,4,5,No,3.0,Long queues at security in Frankfurt
SUR000010,PAX00042279,FL0010001,2024-04-29,Economy,Greece,Frequent Traveller,Leisure,4,4,4,,3,2,2,5,4,4,No,9.0,
SUR000011,PAX00000719,FL0009935,2024-01-29,Economy,UAE,None,Visiting Family,5,5,4,,3,2,7,5,3,4,Maybe,1.0,Excellent Lufthansa service as always
SUR000012,PAX00036701,FL0002463,2022-06-05,Business,United Kingdom,HON Circle,Business,8,6,7,8.0,6,6,6,2,10,9,Yes,8.0,Smooth connection at Frankfurt hub
SUR000013,PAX00016235,FL0011082,2024-04-24,Premium Economy,United States,None,Visiting Family,2,2,4,,2,3,3,1,6,10,No,4.0,Excellent Lufthansa service as always
SUR000014,PAX00014592,FL0007449,2023-11-22,Economy,Brazil,HON Circle,Leisure,6,4,5,,4,8,7,10,6,3,Maybe,2.0,Food quality has improved
SUR000015,PAX00021293,FL0004265,2023-01-27,Economy,Spain,Frequent Traveller,Business,5,5,5,,5,4,3,7,8,4,Maybe,5.0,Food quality has improved
SUR000016,PAX00022583,FL0010782,2024-04-04,Business,China,Frequent Traveller,Leisure,2,1,2,7.0,2,1,1,8,5,5,No,0.0,Flight was delayed but communication was good
SUR000017,PAX00032879,FL0005273,2023-04-07,Economy,Spain,None,Visiting Family,8,7,8,,10,6,6,9,1,8,Yes,2.0,
SUR000018,PAX00041910,FL0006947,2023-08-10,Economy,United States,HON Circle,Visiting Family,10,8,8,,9,10,9,7,10,7,Yes,3.0,Food quality has improved
SUR000019,PAX00026414,FL0001590,2022-04-12,Economy,Spain,Frequent Traveller,Visiting Family,3,1,3,,1,5,4,10,2,5,No,6.0,Business class seat was outstanding
SUR000020,PAX00040517,FL0006886,2023-07-04,Economy,United States,None,Visiting Family,3,4,5,,3,2,4,2,8,4,No,5.0,Business class seat was outstanding
SUR000021,PAX00036449,FL0001836,2022-03-07,Economy,Brazil,None,Other,3,2,4,,2,3,5,2,5,9,No,3.0,
SUR000022,PAX00001869,FL0000239,2021-09-12,Economy,Switzerland,HON Circle,Other,1,3,2,,1,2,3,2,8,1,No,4.0,Cabin crew was very professional
SUR000023,PAX00025026,FL0000396,2021-10-19,Business,Italy,HON Circle,Leisure,5,3,7,6.0,5,5,5,8,8,5,Maybe,2.0,Smooth connection at Frankfurt hub
SUR000024,PAX00043736,FL0002311,26/04/2022,Economy,Canada,Frequent Traveller,Visiting Family,5,4,3,,4,3,6,3,2,9,Maybe,9.0,Business class seat was outstanding
SUR000025,PAX00038599,FL0005571,2023-01-16,Business,Italy,None,Other,9,10,9,7.0,7,6,10,10,4,6,Yes,9.0,
SUR000026,PAX00032113,FL0006325,2023-03-14,Economy,Turkey,Senator,Visiting Family,5/10,4,4,,6,6,5,10,1,10,Maybe,10.0,
SUR000027,PAX00012275,FL0008499,2023-12-22,Economy,Germany,Frequent Traveller,Other,2,3,1,,4,1,1,8,1,4,No,3.0,
SUR000028,PAX00021182,FL0003246,2022-07-01,Economy,Germany,HON Circle,Leisure,3,4,1,,2,5,5,8,3,4,No,8.0,Baggage took too long at arrival
SUR000029,PAX00001047,FL0003559,2022-09-05,Economy,Turkey,None,Visiting Family,9,7,9,,10,6,8,8,1,2,Yes,0.0,Smooth connection at Frankfurt hub
SUR000030,PAX00038884,FL0007378,2023-06-24,Economy,China,Frequent Traveller,Visiting Family,7,9,7,,9,9,7,7,6,7,Yes,9.0,Business class seat was outstanding
SUR000031,PAX00003228,FL0007375,2023-06-15,Economy,Portugal,HON Circle,Business,9,7,9,,10,8,9,7,6,9,Yes,4.0,Smooth connection at Frankfurt hub
SUR000032,PAX00024181,FL0007311,2023-11-25,Economy,Austria,None,Other,7,9,6,,7,4,6,8,10,1,Yes,1.0,
SUR000033,PAX00011483,FL0000418,2021-12-22,Economy,Germany,None,Leisure,1,3,1,,1,1,1,10,2,2,No,10.0,Excellent Lufthansa service as always
SUR000034,PAX00029098,FL0011911,2024-11-29,Economy,Switzerland,HON Circle,Leisure,5,4,6,,6,5,4,8,4,9,Maybe,10.0,Baggage took too long at arrival
SUR000035,PAX00035822,FL0011794,2024-11-03,Economy,Greece,Frequent Traveller,Visiting Family,8,9,10,,6,9,10,5,2,8,Yes,8.0,Cabin crew was very professional
SUR000036,PAX00018008,FL0011838,2024-11-03,Economy,India,Senator,Business,3,1,3,,2,1,1,8,4,8,No,9.0,Clean and comfortable cabin
SUR000037,PAX00031378,FL0010499,2024-07-01,Economy,Greece,None,Visiting Family,6,5,6,,5,3,7,3,5,2,Maybe,4.0,Excellent Lufthansa service as always
SUR000038,PAX00028529,FL0006530,2023-04-24,Economy,France,Frequent Traveller,Visiting Family,3,4,3,,5,3,3,3,2,4,No,0.0,
SUR000039,PAX00024703,FL0011113,2024-05-01,Economy,United States,Senator,Leisure,6/10,5,8,,6,7,7,3,6,9,Maybe,,Excellent Lufthansa service as always
SUR000040,PAX00001329,FL0008366,30/12/2023,Premium Economy,Spain,Frequent Traveller,Business,1,3,3,,2,2,3,9,7,2,No,8.0,Flight was delayed but communication was good
SUR000041,PAX00040655,FL0006938,2023-06-13,Business,China,None,Leisure,8,6,10,8.0,8,9,9,1,8,6,Yes,0.0,Cabin crew was very professional
SUR000042,PAX00003556,FL0010384,2024-07-18,Economy,United Kingdom,Senator,Leisure,8,8,6,,9,9,7,4,1,2,Yes,6.0,Smooth connection at Frankfurt hub
SUR000043,PAX00000425,FL0000141,2021-09-19,Economy,United States,Senator,Visiting Family,10,10,10,,8,10,10,9,5,5,Yes,5.0,Cabin crew was very professional
SUR000044,PAX00043430,FL0012013,2024-10-06,Economy,Germany,Frequent Traveller,Business,1/10,1,2,,1,3,1,8,6,5,No,5.0,Cabin crew was very professional
SUR000045,PAX00002198,FL0009641,2024-01-20,Premium Economy,Portugal,HON Circle,Leisure,5/10,3,4,,3,7,3,3,10,4,Maybe,3.0,
SUR000046,PAX00033246,FL0003590,2022-07-19,Economy,United Kingdom,Frequent Traveller,Other,6,5,6,,8,5,8,1,3,10,Maybe,0.0,
SUR000047,PAX00032976,FL0004516,2023-03-15,Economy,Belgium,None,Business,7,8,9,,6,4,8,5,3,5,Yes,8.0,
SUR000048,PAX00008668,FL0000382,2021-11-17,Economy,Portugal,Senator,Leisure,7,9,8,,5,9,8,9,2,6,Yes,4.0,Baggage took too long at arrival
SUR000049,PAX00039876,FL0007615,2023-12-27,Economy,Austria,None,Other,2,1,1,,4,2,4,1,3,8,No,1.0,
SUR000050,PAX00016077,FL0002724,2022-06-26,Economy,Netherlands,Frequent Traveller,Business,8,7,9,,7,5,10,6,8,2,Yes,1.0,Flight was delayed but communication was good
SUR000051,PAX00030311,FL0007835,2023-09-30,Economy,Spain,HON Circle,Business,5,7,4,,4,7,7,4,5,7,Maybe,8.0,Clean and comfortable cabin
SUR000052,PAX00000350,FL0010099,2024-07-06,Business,Greece,None,Business,8,10,8,8.0,10,9,9,6,8,3,Yes,2.0,Long queues at security in Frankfurt
SUR000053,PAX00024948,FL0001820,2022-06-17,Economy,Sweden,None,Other,7/10,6,5,,9,4,6,6,3,8,Yes,2.0,Flight was delayed but communication was good
SUR000054,PAX00028267,FL0001951,2022-03-26,Economy,United States,None,Leisure,4,5,4,,5,5,3,6,7,2,No,9.0,
SUR000055,PAX00021612,FL0011044,2024-06-22,Economy,United States,None,Visiting Family,10,8,9,,8,10,10,10,5,3,Yes,6.0,Excellent Lufthansa service as always
SUR000056,PAX00034832,FL0006823,2023-10-13,Business,France,None,Visiting Family,1,3,1,9.0,2,2,2,8,6,9,No,6.0,Business class seat was outstanding
SUR000057,PAX00002372,FL0005410,2023-01-13,Economy,France,HON Circle,Business,5,5,7,,7,3,3,7,1,9,Maybe,7.0,Business class seat was outstanding
SUR000058,PAX00013478,FL0006008,2023-04-28,Business,Spain,HON Circle,Other,4,3,3,4.0,5,2,5,3,2,6,No,3.0,Wifi was too slow for work
SUR000059,PAX00043209,FL0010390,2024-05-14,Economy,Portugal,None,Business,8,6,7,,8,6,9,3,3,3,Yes,10.0,Food quality has improved
SUR000060,PAX00012244,FL0005120,2023-03-01,Business,South Africa,HON Circle,Other,4,5,6,8.0,6,5,5,5,5,4,No,6.0,Business class seat was outstanding
SUR000061,PAX00005200,FL0002769,2022-05-06,Economy,Turkey,None,Leisure,4,5,2,,6,5,5,7,2,1,No,9.0,Clean and comfortable cabin
SUR000062,PAX00020127,FL0000620,2022-01-11,Economy,Italy,HON Circle,Leisure,3,4,1,,3,1,4,7,6,10,No,1.0,Cabin crew was very professional
SUR000063,PAX00043008,FL0003518,2022-08-31,Premium Economy,Singapore,HON Circle,Other,3,3,5,,1,3,1,1,3,3,No,2.0,Long queues at security in Frankfurt
SUR000064,PAX00026749,FL0000010,2021-12-25,Economy,Switzerland,None,Visiting Family,5,5,5,,7,3,3,6,2,8,Maybe,10.0,Clean and comfortable cabin
SUR000065,PAX00019138,FL0003236,19/08/2022,Economy,Italy,Frequent Traveller,Business,7,7,9,,9,8,6,3,3,9,Yes,4.0,Business class seat was outstanding
SUR000066,PAX00019439,FL0003011,2022-07-15,Economy,Denmark,None,Visiting Family,5/10,5,4,,4,6,6,5,7,8,Maybe,7.0,Excellent Lufthansa service as always
SUR000067,PAX00009728,FL0009089,2024-01-02,Economy,Denmark,Frequent Traveller,Visiting Family,5,7,5,,4,3,3,7,1,6,Maybe,1.0,Business class seat was outstanding
SUR000068,PAX00027685,FL0007125,2023-09-20,Economy,France,Senator,Other,7,8,9,,6,9,8,4,5,3,Yes,9.0,
SUR000069,PAX00030831,FL0011893,2024-10-06,Business,Germany,None,Leisure,10,10,10,9.0,8,10,10,6,8,4,Yes,,Baggage took too long at arrival
SUR000070,PAX00011957,FL0006706,2023-04-20,Economy,United States,HON Circle,Other,3,1,5,,2,5,5,8,4,10,No,6.0,
SUR000071,PAX00036057,FL0005984,2023-05-18,Economy,India,Senator,Business,4,6,6,,4,1,3,5,2,9,No,10.0,Long queues at security in Frankfurt
SUR000072,PAX00007575,FL0011376,2024-05-16,Economy,Portugal,None,Business,3,2,2,,2,4,2,7,7,1,No,3.0,
SUR000073,PAX00037828,FL0009396,2024-01-05,Economy,Brazil,None,Other,2,3,3,,1,4,3,8,4,2,No,7.0,
SUR000074,PAX00013676,FL0006566,2023-05-24,Economy,Turkey,HON Circle,Other,4,3,3,,2,5,6,4,10,9,No,0.0,Excellent Lufthansa service as always
SUR000075,PAX00023686,FL0000875,2022-02-16,Economy,Germany,Senator,Other,10,10,9,,9,9,9,3,7,2,Yes,9.0,Wifi was too slow for work
SUR000076,PAX00000392,FL0005457,2023-06-12,Economy,Turkey,Frequent Traveller,Business,6,6,4,,5,7,7,9,8,2,Maybe,0.0,Flight was delayed but communication was good
SUR000077,PAX00037114,FL0010065,2024-05-17,Business,Germany,None,Leisure,2/10,3,2,3.0,3,3,1,3,6,5,No,1.0,
SUR000078,PAX00028310,FL0010881,2024-06-09,Business,Germany,HON Circle,Leisure,2,1,3,9.0,4,1,3,8,3,3,No,3.0,Excellent Lufthansa service as always
SUR000079,PAX00041101,FL0008023,18/11/2023,Economy,Germany,HON Circle,Other,1,1,3,,3,2,2,1,2,2,No,9.0,Smooth connection at Frankfurt hub
SUR000080,PAX00036653,FL0011162,2024-09-23,Premium Economy,UAE,HON Circle,Visiting Family,2,4,1,,2,1,4,1,8,7,No,5.0,Smooth connection at Frankfurt hub
SUR000081,PAX00014552,FL0004661,2023-04-04,Economy,Japan,HON Circle,Other,3,3,3,,5,5,2,6,2,10,No,0.0,
SUR000082,PAX00001933,FL0007739,2023-09-18,Economy,Germany,Frequent Traveller,Other,3,2,1,,2,4,4,2,2,6,No,5.0,
SUR000083,PAX00018269,FL0008630,2024-02-04,Premium Economy,United States,HON Circle,Leisure,6,8,7,,5,3,4,2,6,8,Maybe,,Flight was delayed but communication was good
SUR000084,PAX00016771,FL0009993,2024-07-10,Economy,Sweden,None,Visiting Family,2,1,4,,2,1,1,1,1,10,No,1.0,Baggage took too long at arrival
SUR000085,PAX00000183,FL0009689,2024-02-20,Economy,United States,Frequent Traveller,Visiting Family,8,9,8,,10,9,10,10,4,8,Yes,8.0,Wifi was too slow for work
SUR000086,PAX00012368,FL0000935,2022-01-25,Economy,Turkey,HON Circle,Other,7,9,8,,5,4,6,4,5,10,Yes,2.0,Wifi was too slow for work
SUR000087,PAX00013514,FL0004439,2023-03-20,Economy,Thailand,None,Business,5,6,3,,3,5,7,7,5,2,Maybe,9.0,Cabin crew was very professional
SUR000088,PAX00021248,FL0010253,2024-02-27,Economy,Turkey,None,Business,4,6,6,,4,4,3,7,5,7,No,5.0,
SUR000089,PAX00042689,FL0002520,2022-08-07,Economy,United States,None,Visiting Family,9,9,8,,10,6,9,6,1,2,Yes,0.0,Excellent Lufthansa service as always
SUR000090,PAX00032096,FL0009598,2024-05-29,Economy,Austria,Frequent Traveller,Leisure,4,4,2,,6,3,4,5,7,2,No,6.0,Smooth connection at Frankfurt hub
SUR000091,PAX00013116,FL0009445,2024-05-22,Business,Brazil,None,Visiting Family,1/10,2,1,7.0,3,2,1,1,8,8,No,3.0,Cabin crew was very professional
SUR000092,PAX00037684,FL0001969,2022-07-16,Premium Economy,Italy,None,Other,8,7,8,,8,6,7,6,3,7,Yes,6.0,Flight was delayed but communication was good
SUR000093,PAX00023302,FL0011166,2024-07-10,Premium Economy,Thailand,None,Leisure,3,2,3,,5,3,3,2,10,6,No,7.0,
SUR000094,PAX00016360,FL0011515,2024-05-17,Economy,Austria,Frequent Traveller,Leisure,4,4,5,,5,6,6,2,8,1,No,6.0,Smooth connection at Frankfurt hub
SUR000095,PAX00004261,FL0004256,2023-03-05,Economy,Switzerland,None,Visiting Family,1,3,3,,3,3,3,10,8,1,No,1.0,Smooth connection at Frankfurt hub
SUR000096,PAX00013628,FL0003152,2022-10-20,Economy,Thailand,None,Other,8,6,6,,7,6,10,1,2,2,Yes,10.0,Business class seat was outstanding
SUR000097,PAX00024447,FL0000605,2021-11-17,Premium Economy,Japan,None,Leisure,1,1,1,,2,2,3,6,3,6,No,8.0,
SUR000098,PAX00031826,FL0001475,2022-06-06,Business,Spain,None,Visiting Family,3,1,1,5.0,3,5,5,3,3,5,No,3.0,Wifi was too slow for work
SUR000099,PAX00005254,FL0007970,2023-12-30,Business,Greece,HON Circle,Business,8,10,9,10.0,9,10,7,2,9,1,Yes,1.0,Flight was delayed but communication was good
SUR000100,PAX00026582,FL0008800,2024-03-07,Premium Economy,Greece,None,Leisure,7,6,7,,6,7,6,9,7,8,Yes,4.0,Long queues at security in Frankfurt
SUR000101,PAX00032437,FL0011694,2024-06-29,Economy,Spain,Frequent Traveller,Visiting Family,9,9,10,,9,8,9,3,9,1,Yes,9.0,Clean and comfortable cabin
SUR000102,PAX00005821,FL0005868,2023-05-11,Economy,Germany,None,Leisure,1,2,1,,2,2,3,2,3,4,No,3.0,Long queues at security in Frankfurt
SUR000103,PAX00002093,FL0004124,2022-12-16,Economy,United Kingdom,None,Business,9,8,10,,10,6,8,4,4,4,Yes,5.0,Food quality has improved
SUR000104,PAX00039375,FL0000143,2021-10-13,Economy,Spain,Frequent Traveller,Leisure,6,4,4,,8,8,4,10,5,3,Maybe,8.0,
SUR000105,PAX00028688,FL0009639,2024-04-20,Economy,United Kingdom,HON Circle,Visiting Family,8,6,7,,10,6,8,8,1,1,Yes,0.0,
SUR000106,PAX00028786,FL0008647,2024-01-04,Economy,Switzerland,None,Leisure,3,1,1,,1,1,5,3,5,2,No,9.0,Baggage took too long at arrival
